"percent_total","request","type","domain","owner","owner_country","owner_lineage"
"33.33","https://fonts.googleapis.com/css","stylesheet","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"32.64","https://www.google-analytics.com/analytics.js","script","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"31.94","https://www.google-analytics.com/j/collect","xhr","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"20.14","https://stats.g.doubleclick.net/j/collect","xhr","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"19.44","https://adservice.google.ch/adsid/integrator.js","script","google.ch","Google","US","Google > Alphabet"
"19.44","https://adservice.google.com/adsid/integrator.js","script","google.com","Google","US","Google > Alphabet"
"19.44","https://pagead2.googlesyndication.com/bg/GC5M5N_VN3lVd7ErmxmldCKoshgV9d2S74rLP9hyoZw.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"19.44","https://pagead2.googlesyndication.com/getconfig/sodar","xhr","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"19.44","https://pagead2.googlesyndication.com/pagead/sodar","image","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"19.44","https://tpc.googlesyndication.com/generate_204","image","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"19.44","https://tpc.googlesyndication.com/sodar/sodar2.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"19.44","https://tpc.googlesyndication.com/sodar/sodar2/225/runner.html","document","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"19.44","https://www.google.com/recaptcha/api2/aframe","document","google.com","Google","US","Google > Alphabet"
"18.75","https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"18.75","https://www.googletagmanager.com/gtag/js","script","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"17.36","https://googleads.g.doubleclick.net/pagead/ads","document","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"17.36","https://partner.googleadservices.com/gampad/cookie.js","script","googleadservices.com","AdSense","US","AdSense > Google > Alphabet"
"15.97","https://fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmWUlfBBc4.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"15.97","https://fonts.gstatic.com/s/roboto/v30/KFOmCnqEu92Fr1Mu4mxK.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"15.97","https://googleads.g.doubleclick.net/pagead/html/r20221206/r20190131/zrt_lookup.html","document","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"15.28","https://pixel.wp.com/g.gif","image","wp.com","Wordpress","US","Wordpress > Automattic"
"14.58","https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"14.58","https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"12.5","https://cm.g.doubleclick.net/pixel","image","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"12.5","https://fonts.gstatic.com/s/opensans/v34/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-muw.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"12.5","https://googleads.g.doubleclick.net/pagead/id","xhr","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"12.5","https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/Create","other","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"12.5","https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/Create","xhr","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"12.5","https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/GenerateIT","other","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"12.5","https://jnn-pa.googleapis.com/$rpc/google.internal.waa.v1.Waa/GenerateIT","xhr","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"12.5","https://static.doubleclick.net/instream/ad_status.js","script","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"12.5","https://www.youtube.com/s/player/72d3c60a/fetch-polyfill.vflset/fetch-polyfill.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"12.5","https://www.youtube.com/s/player/72d3c60a/www-embed-player.vflset/www-embed-player.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"12.5","https://www.youtube.com/s/player/72d3c60a/www-player.css","stylesheet","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"12.5","https://www.youtube.com/youtubei/v1/log_event","xhr","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"11.81","https://pagead2.googlesyndication.com/pagead/gen_204","image","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"11.81","https://www.google.ch/ads/ga-audiences","image","google.ch","Google","US","Google > Alphabet"
"11.81","https://www.google.com/ads/ga-audiences","image","google.com","Google","US","Google > Alphabet"
"11.11","https://fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmEU9fBBc4.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"11.11","https://www.google-analytics.com/collect","image","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"11.11","https://www.google.com/js/th/YkfklCtf3s5-_1quWHAnTHHVaBZ-i7ToAeXFpu3i2Ro.js","script","google.com","Google","US","Google > Alphabet"
"11.11","https://www.gstatic.com/cv/js/sender/v1/cast_sender.js","script","gstatic.com","Google","US","Google > Alphabet"
"11.11","https://www.youtube.com/generate_204","image","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"10.42","https://stats.wp.com/e-202249.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"9.72","https://play.google.com/log","other","google.com","Google","US","Google > Alphabet"
"9.72","https://play.google.com/log","xhr","google.com","Google","US","Google > Alphabet"
"9.72","https://www.googletagservices.com/activeview/js/current/rx_lidar.js","script","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"9.03","https://tpc.googlesyndication.com/pagead/js/r20221206/r20110914/abg_lite_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"9.03","https://www.youtube.com/s/player/72d3c60a/player_ias.vflset/en_US/base.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"9.03","https://www.youtube.com/s/player/72d3c60a/player_ias.vflset/en_US/embed.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"8.33","https://image6.pubmatic.com/AdServer/UCookieSetPug","image","pubmatic.com","PubMatic","US","PubMatic"
"8.33","https://region1.google-analytics.com/g/collect","ping","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"8.33","https://ssum-sec.casalemedia.com/usermatchredir","image","casalemedia.com","Index Exchange","CA","Index Exchange"
"8.33","https://tpc.googlesyndication.com/pagead/js/r20221206/r20110914/client/qs_click_protection_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"8.33","https://tpc.googlesyndication.com/pagead/js/r20221206/r20110914/client/window_focus_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"7.64","https://connect.facebook.net/de_DE/sdk.js","script","facebook.net","Facebook","US","Facebook"
"7.64","https://fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmSU5fBBc4.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"7.64","https://pixel.rubiconproject.com/exchange/sync.php","image","rubiconproject.com","Rubicon Project","US","Rubicon Project"
"7.64","https://www.youtube.com/s/player/72d3c60a/player_ias.vflset/en_US/remote.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"6.94","https://googleads.g.doubleclick.net/pagead/adview","fetch","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"6.94","https://match.adsrvr.org/track/cmf/generic","image","adsrvr.org","The Trade Desk","US","The Trade Desk"
"6.94","https://pagead2.googlesyndication.com/pcs/activeview","fetch","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"6.94","https://rtb.openx.net/sync/dds","image","openx.net","OpenX","US","OpenX"
"6.94","https://tpc.googlesyndication.com/pagead/js/r20221206/r20110914/client/load_preloaded_resource_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"6.94","https://www.google.com/ads/measurement/l","image","google.com","Google","US","Google > Alphabet"
"6.25","https://cc.adingo.jp/adx/push/","image","adingo.jp","Fluct","JP","Fluct"
"6.25","https://cm.g.doubleclick.net/pixel/attr","image","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"6.25","https://cms.quantserve.com/dpixel","image","quantserve.com","Quantcast","US","Quantcast"
"6.25","https://odr.mookie1.com/t/v2/sync","image","mookie1.com","Xaxis","US","Xaxis > GroupM > WPP"
"6.25","https://pagead2.googlesyndication.com/pagead/managed/js/adsense/m202211290101/show_ads_impl_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"6.25","https://pagead2.googlesyndication.com/pagead/s/cookie_push_onload.html","document","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"6.25","https://platform.twitter.com/widgets/widget_iframe.644279d1635fd969e87af94a98bd232b.html","document","twitter.com","Twitter","US","Twitter"
"6.25","https://s0.wp.com/_static/","script","wp.com","Wordpress","US","Wordpress > Automattic"
"6.25","https://syndication.twitter.com/settings","fetch","twitter.com","Twitter","US","Twitter"
"6.25","https://www.google.com/recaptcha/api.js","script","google.com","Google","US","Google > Alphabet"
"6.25","https://www.gstatic.com/mysidia/83de75e735dabeddf4e705de6f0a2f41.js","script","gstatic.com","Google","US","Google > Alphabet"
"6.25","https://www.gstatic.com/recaptcha/releases/Km9gKuG06He-isPsP6saG8cn/recaptcha__en.js","script","gstatic.com","Google","US","Google > Alphabet"
"5.56","https://ag.innovid.com/trk","image","innovid.com","Innovid","US","Innovid"
"5.56","https://cdn.onesignal.com/sdks/OneSignalPageSDKES6.js","script","onesignal.com","","",""
"5.56","https://d.agkn.com/pixel/2175/","image","agkn.com","Neustar Marketing","US","Neustar Marketing > Neustar > Golden Gate Capital"
"5.56","https://dsum-sec.casalemedia.com/rrum","image","casalemedia.com","Index Exchange","CA","Index Exchange"
"5.56","https://fonts.gstatic.com/s/googlesans/v45/4UasrENHsxJlGDuGo1OIlJfC6l_24rlCK1Yo_Iqcsih3SAyH6cAwhX9RPjIUvQ.woff2","font","gstatic.com","Google","US","Google > Alphabet"
"5.56","https://platform.twitter.com/widgets.js","script","twitter.com","Twitter","US","Twitter"
"5.56","https://s.pubmine.com/conf","script","pubmine.com","","",""
"5.56","https://s0.wp.com/_static/","stylesheet","wp.com","Wordpress","US","Wordpress > Automattic"
"5.56","https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.css","stylesheet","wp.com","Wordpress","US","Wordpress > Automattic"
"5.56","https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"5.56","https://s0.wp.com/wp-includes/js/wp-emoji-release.min.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"5.56","https://stats.wp.com/w.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"5.56","https://sync.mathtag.com/sync/img","image","mathtag.com","Media Math","US","Media Math"
"5.56","https://syndication.twitter.com/i/jot/embeds","image","twitter.com","Twitter","US","Twitter"
"5.56","https://translate-pa.googleapis.com/v1/supportedLanguages","script","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"5.56","https://translate.google.com/translate_a/element.js","script","google.com","Google","US","Google > Alphabet"
"5.56","https://translate.googleapis.com/_/translate_http/_/js/k=translate_http.tr.de.K9z1uWNLao8.O/d=1/exm=el_conf/ed=1/rs=AN8SPfq0MEi7NVGwAA_e3u3rtuAotyyLHw/m=el_main","script","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"5.56","https://translate.googleapis.com/element/log","other","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"5.56","https://translate.googleapis.com/element/log","xhr","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"5.56","https://translate.googleapis.com/translate_static/css/translateelement.css","stylesheet","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"5.56","https://www.googletagmanager.com/gtm.js","script","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"5.56","https://www.gstatic.com/images/branding/product/1x/translate_24dp.png","image","gstatic.com","Google","US","Google > Alphabet"
"5.56","https://www.gstatic.com/images/branding/product/2x/translate_24dp.png","image","gstatic.com","Google","US","Google > Alphabet"
"4.86","https://c1.adform.net/serving/cookie/match","image","adform.net","AdForm","DK","AdForm"
"4.86","https://cdn.onesignal.com/sdks/OneSignalSDK.js","script","onesignal.com","","",""
"4.86","https://connect.facebook.net/en_US/fbevents.js","script","facebook.net","Facebook","US","Facebook"
"4.86","https://dsum-sec.casalemedia.com/rum","image","casalemedia.com","Index Exchange","CA","Index Exchange"
"4.86","https://fonts.googleapis.com/css2","stylesheet","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"4.86","https://googleads.g.doubleclick.net/pagead/drt/s","document","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"4.86","https://googleads.g.doubleclick.net/pagead/drt/si","document","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"4.86","https://id.rlcdn.com/1000.gif","image","rlcdn.com","LiveRamp","US","LiveRamp > Acxiom"
"4.86","https://id.rlcdn.com/466606.gif","image","rlcdn.com","LiveRamp","US","LiveRamp > Acxiom"
"4.86","https://pixel.rubiconproject.com/tap.php","image","rubiconproject.com","Rubicon Project","US","Rubicon Project"
"4.86","https://s.amazon-adsystem.com/ecm3","image","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon"
"4.86","https://s0.wp.com/wp-content/mu-plugins/global-print/global-print.css","stylesheet","wp.com","Wordpress","US","Wordpress > Automattic"
"4.86","https://us-u.openx.net/w/1.0/sd","image","openx.net","OpenX","US","OpenX"
"4.86","https://www.facebook.com/tr/","image","facebook.com","Facebook","US","Facebook"
"4.86","https://www.google.com/pagead/drt/ui","document","google.com","Google","US","Google > Alphabet"
"4.86","https://www.gstatic.com/recaptcha/releases/Km9gKuG06He-isPsP6saG8cn/styles__ltr.css","stylesheet","gstatic.com","Google","US","Google > Alphabet"
"4.86","https://www.youtube.com/api/stats/qoe","xhr","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"4.17","https://0.gravatar.com/dist/css/hovercard.min.css","stylesheet","gravatar.com","Gravatar","US","Gravatar > Automattic"
"4.17","https://0.gravatar.com/dist/css/services.min.css","stylesheet","gravatar.com","Gravatar","US","Gravatar > Automattic"
"4.17","https://0.gravatar.com/js/gprofiles.js","script","gravatar.com","Gravatar","US","Gravatar > Automattic"
"4.17","https://aax-eu.amazon-adsystem.com/s/dcm","image","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon"
"4.17","https://acdn.adnxs.com/dmp/async_usersync.html","document","adnxs.com","Xandr","US","Xandr > AT&T"
"4.17","https://adx.adform.net/adx/openrtb","xhr","adform.net","AdForm","DK","AdForm"
"4.17","https://c0.wp.com/c/6.1.1/wp-includes/css/classic-themes.min.css","stylesheet","wp.com","Wordpress","US","Wordpress > Automattic"
"4.17","https://c0.wp.com/c/6.1.1/wp-includes/js/jquery/jquery-migrate.min.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"4.17","https://c0.wp.com/c/6.1.1/wp-includes/js/jquery/jquery.min.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"4.17","https://cms.quantserve.com/pixel/p-25CIknq_eSg16.gif","image","quantserve.com","Quantcast","US","Quantcast"
"4.17","https://e.dlx.addthis.com/e/a-1189/s-3614","image","addthis.com","AddThis","US","AddThis > Oracle Data Cloud > Oracle"
"4.17","https://eu-u.openx.net/w/1.0/sd","image","openx.net","OpenX","US","OpenX"
"4.17","https://ib.adnxs.com/getuid","image","adnxs.com","Xandr","US","Xandr > AT&T"
"4.17","https://ib.adnxs.com/ut/v3/prebid","xhr","adnxs.com","Xandr","US","Xandr > AT&T"
"4.17","https://match.adsrvr.org/track/cmf/openx","image","adsrvr.org","The Trade Desk","US","The Trade Desk"
"4.17","https://pagead2.googlesyndication.com/pagead/managed/js/adsense/m202211300101/show_ads_impl_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"4.17","https://pagead2.googlesyndication.com/pagead/managed/js/adsense/m202212010101/show_ads_impl_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"4.17","https://pixel.rubiconproject.com/token","image","rubiconproject.com","Rubicon Project","US","Rubicon Project"
"4.17","https://s.amazon-adsystem.com/dcm","image","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon"
"4.17","https://s0.wp.com/wp-content/js/rlt-proxy.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"4.17","https://s0.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"4.17","https://static.xx.fbcdn.net/rsrc.php/v3/yE/l/0,cross/X8yxM85IJeo.css","stylesheet","fbcdn.net","Facebook","US","Facebook"
"4.17","https://token.rubiconproject.com/token","image","rubiconproject.com","Rubicon Project","US","Rubicon Project"
"4.17","https://www.google.com/recaptcha/api2/anchor","document","google.com","Google","US","Google > Alphabet"
"4.17","https://www.google.com/recaptcha/api2/webworker.js","other","google.com","Google","US","Google > Alphabet"
"4.17","https://www.gstatic.com/images/branding/googlelogo/1x/googlelogo_color_42x16dp.png","image","gstatic.com","Google","US","Google > Alphabet"
"4.17","https://www.youtube.com/s/player/72d3c60a/www-widgetapi.vflset/www-widgetapi.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"4.17","https://x.bidswitch.net/sync","image","bidswitch.net","Bidswitch","US","Bidswitch > IPONWEB"
"3.47","https://aa.agkn.com/adscores/g.pixel","image","agkn.com","Neustar Marketing","US","Neustar Marketing > Neustar > Golden Gate Capital"
"3.47","https://aax-eu.amazon-adsystem.com/s/dcm","document","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon"
